source,target,n_obs,correlation_pearson,p_value_pearson,correlation_spearman,p_value_spearman,p_adjusted_pearson,p_adjusted_spearman,sign,weight,method,start_date,end_date,frequency
BBL_ret,KBANK_ret,216,0.563149,1.7993053463416058e-19,0.538984,1.1260556791249916e-17,1.9663836999304695e-18,1.2306179921865982e-16,positive,0.563149,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
BBL_ret,KKP_ret,216,0.428001,4.937414698409144e-11,0.424895,7.029993932070051e-11,2.9054786494484576e-10,3.7089278331266136e-10,positive,0.428001,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
BBL_ret,KTB_ret,216,0.628976,3.4313141965999923e-25,0.603222,8.535010264780061e-23,4.7726461098163536e-24,1.3058565705113493e-21,positive,0.628976,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
BBL_ret,SCB_ret,216,0.510357,1.0034000433548147e-15,0.541873,6.987462616844601e-18,9.595012914580415e-15,8.223706002901722e-17,positive,0.510357,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
BBL_ret,TISCO_ret,216,0.453412,2.3852245379401643e-12,0.419768,1.2499984665791473e-10,1.6588152468402054e-11,6.374992179553651e-10,positive,0.453412,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
BBL_ret,TTB_ret,216,0.568154,7.319049907868726e-20,0.516417,4.016807212527279e-16,8.613958737722424e-19,3.6151264912745514e-15,positive,0.568154,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
BBL_ret,SET_ret,216,0.39901,1.1663090851808809e-09,0.380263,7.710520654668821e-09,5.407433031293175e-09,3.1884044869306205e-08,positive,0.39901,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
BBL_ret,THAI_BANK_BASKET_ret,216,0.817548,3.393463330875151e-53,0.782063,7.796161825049326e-46,4.048112168821279e-51,5.964063796162734e-44,positive,0.817548,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
KBANK_ret,KKP_ret,216,0.413686,2.4434032126725366e-10,0.442909,8.603936575741178e-12,1.3351453269246361e-09,4.8755640595866674e-11,positive,0.413686,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
KBANK_ret,KTB_ret,216,0.46499,5.50549336854121e-13,0.47605,1.2876870270706588e-13,4.2117024269340255e-12,9.381719768657656e-13,positive,0.46499,fdr_validated_pearson_weekly,2022-05-13,2026-06-26,weekly
