source,target,source_node,target_node,correlation,weight,sign,lag_weeks,method
XLF_ret,BBL_ret,XLF,BBL,0.087231,0.087231,positive,1,lagged_corr_weekly
XLF_ret,KBANK_ret,XLF,KBANK,0.079038,0.079038,positive,1,lagged_corr_weekly
XLF_ret,KKP_ret,XLF,KKP,-0.09956,0.09956,negative,2,lagged_corr_weekly
XLF_ret,KTB_ret,XLF,KTB,0.05878,0.05878,positive,3,lagged_corr_weekly
XLF_ret,SCB_ret,XLF,SCB,0.080767,0.080767,positive,2,lagged_corr_weekly
XLF_ret,TISCO_ret,XLF,TISCO,0.028139,0.028139,positive,1,lagged_corr_weekly
XLF_ret,TTB_ret,XLF,TTB,0.026518,0.026518,positive,1,lagged_corr_weekly
EUFN_ret,BBL_ret,EUFN,BBL,0.076063,0.076063,positive,3,lagged_corr_weekly
EUFN_ret,KBANK_ret,EUFN,KBANK,0.0716,0.0716,positive,1,lagged_corr_weekly
EUFN_ret,KKP_ret,EUFN,KKP,-0.146182,0.146182,negative,2,lagged_corr_weekly
EUFN_ret,KTB_ret,EUFN,KTB,0.11257,0.11257,positive,3,lagged_corr_weekly
EUFN_ret,SCB_ret,EUFN,SCB,-0.085593,0.085593,negative,3,lagged_corr_weekly
EUFN_ret,TISCO_ret,EUFN,TISCO,0.081783,0.081783,positive,1,lagged_corr_weekly
EUFN_ret,TTB_ret,EUFN,TTB,0.071934,0.071934,positive,3,lagged_corr_weekly
USDTHB_ret,BBL_ret,USDTHB,BBL,-0.116591,0.116591,negative,2,lagged_corr_weekly
USDTHB_ret,KBANK_ret,USDTHB,KBANK,0.097646,0.097646,positive,3,lagged_corr_weekly
USDTHB_ret,KKP_ret,USDTHB,KKP,0.142097,0.142097,positive,1,lagged_corr_weekly
USDTHB_ret,KTB_ret,USDTHB,KTB,-0.057661,0.057661,negative,3,lagged_corr_weekly
USDTHB_ret,SCB_ret,USDTHB,SCB,0.06641,0.06641,positive,3,lagged_corr_weekly
USDTHB_ret,TISCO_ret,USDTHB,TISCO,-0.046192,0.046192,negative,2,lagged_corr_weekly
USDTHB_ret,TTB_ret,USDTHB,TTB,-0.033711,0.033711,negative,4,lagged_corr_weekly
SET_ret,BBL_ret,SET,BBL,0.104092,0.104092,positive,1,lagged_corr_weekly
