source,target,rel_type,weight,sign,method,corr_pearson,p_adj,lag_weeks,beta,p_value
BBL,KBANK,CORRELATED_WITH,0.563149,positive,fdr_validated_pearson_weekly,0.563149,1.9663836999304695e-18,,,
BBL,KKP,CORRELATED_WITH,0.428001,positive,fdr_validated_pearson_weekly,0.428001,2.9054786494484576e-10,,,
BBL,KTB,CORRELATED_WITH,0.628976,positive,fdr_validated_pearson_weekly,0.628976,4.7726461098163536e-24,,,
BBL,SCB,CORRELATED_WITH,0.510357,positive,fdr_validated_pearson_weekly,0.510357,9.595012914580415e-15,,,
BBL,TISCO,CORRELATED_WITH,0.453412,positive,fdr_validated_pearson_weekly,0.453412,1.6588152468402054e-11,,,
BBL,TTB,CORRELATED_WITH,0.568154,positive,fdr_validated_pearson_weekly,0.568154,8.613958737722424e-19,,,
BBL,SET,CORRELATED_WITH,0.39901,positive,fdr_validated_pearson_weekly,0.39901,5.407433031293175e-09,,,
BBL,THAI_BANK_BASKET,CORRELATED_WITH,0.817548,positive,fdr_validated_pearson_weekly,0.817548,4.048112168821279e-51,,,
KBANK,KKP,CORRELATED_WITH,0.413686,positive,fdr_validated_pearson_weekly,0.413686,1.3351453269246361e-09,,,
KBANK,KTB,CORRELATED_WITH,0.46499,positive,fdr_validated_pearson_weekly,0.46499,4.2117024269340255e-12,,,
KBANK,SCB,CORRELATED_WITH,0.401949,positive,fdr_validated_pearson_weekly,0.401949,4.102727149488047e-09,,,
KBANK,TISCO,CORRELATED_WITH,0.486647,positive,fdr_validated_pearson_weekly,0.486647,2.451802071587446e-13,,,
KBANK,TTB,CORRELATED_WITH,0.369884,positive,fdr_validated_pearson_weekly,0.369884,7.786367297157185e-08,,,
KBANK,USDTHB,CORRELATED_WITH,0.200481,negative,fdr_validated_pearson_weekly,-0.200481,0.007858340976834468,,,
KBANK,SET,CORRELATED_WITH,0.420967,positive,fdr_validated_pearson_weekly,0.420967,6.196858960539489e-10,,,
KBANK,VIX,CORRELATED_WITH,0.215958,negative,fdr_validated_pearson_weekly,-0.215958,0.0037108131604916255,,,
KBANK,THAI_BANK_BASKET,CORRELATED_WITH,0.722958,positive,fdr_validated_pearson_weekly,0.722958,9.881680313892644e-35,,,
KKP,KTB,CORRELATED_WITH,0.398473,positive,fdr_validated_pearson_weekly,0.398473,5.5493956786740366e-09,,,
KKP,SCB,CORRELATED_WITH,0.441512,positive,fdr_validated_pearson_weekly,0.441512,6.224614246127569e-11,,,
KKP,TISCO,CORRELATED_WITH,0.402282,positive,fdr_validated_pearson_weekly,0.402282,4.089489144117908e-09,,,
KKP,TTB,CORRELATED_WITH,0.373048,positive,fdr_validated_pearson_weekly,0.373048,5.914185240302481e-08,,,
KKP,USDTHB,CORRELATED_WITH,0.24738,negative,fdr_validated_pearson_weekly,-0.24738,0.0007144410928603235,,,
KKP,SET,CORRELATED_WITH,0.44512,positive,fdr_validated_pearson_weekly,0.44512,4.2019570078361797e-11,,,
KKP,THAI_BANK_BASKET,CORRELATED_WITH,0.715754,positive,fdr_validated_pearson_weekly,0.715754,7.097531591489544e-34,,,
KTB,SCB,CORRELATED_WITH,0.490206,positive,fdr_validated_pearson_weekly,0.490206,1.6692012463226415e-13,,,
