,BBL_ret,KBANK_ret,KKP_ret,KTB_ret,SCB_ret,TISCO_ret,TTB_ret,XLF_ret,EUFN_ret,USDTHB_ret,SET_ret,DGS2_chg,DGS10_chg,MORTGAGE30US_chg,VIX_CHANGE,US_YIELD_CURVE_chg,THAI_BANK_BASKET_ret
BBL_ret,1.0,0.05368304227920755,0.0,0.12398572419082989,0.0,0.018584011655734544,0.07376182979750816,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.3402057261681704
KBANK_ret,0.05368304227920755,1.0,0.0,0.0,0.0,0.11086331398757121,0.0,0.0,0.0,-0.0,0.03786688170996859,-0.0,-0.0,0.0,-0.006069158755533999,-0.0,0.2800585797269942
KKP_ret,0.0,0.0,1.0,0.0,0.0,0.002533697890984305,0.0,0.0,0.0,-0.0,0.08080564497327944,-0.0,-0.0,0.0,-0.0,-0.0,0.310867470074717
KTB_ret,0.12398572419082989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.3184749503239685
SCB_ret,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.024650554439415096,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.32933977330215747
TISCO_ret,0.018584011655734544,0.11086331398757121,0.002533697890984305,0.0,0.0,1.0,0.0,0.0,0.03197413712104273,-0.0,0.07539181775385354,0.0,-0.0,0.0,-0.0,-0.0,0.1646127177103727
TTB_ret,0.07376182979750816,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.29381852213653264
XLF_ret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.41545579840892655,-0.0,0.0,0.0,-0.0,-0.0,-0.301602258255041,-0.0,0.0
EUFN_ret,0.0,0.0,0.0,0.0,0.0,0.03197413712104273,0.0,0.41545579840892655,1.0,-0.14048250415023036,0.0633733088878387,-0.0,-0.0,-0.0,-0.2539782797688549,-0.0,0.0
USDTHB_ret,-0.0,-0.0,-0.0,-0.0,-0.024650554439415096,-0.0,-0.0,-0.0,-0.14048250415023036,1.0,-0.18191701518710962,0.03985192439461543,0.11776330430825462,0.05653595656887519,0.0,0.0,-0.0
SET_ret,0.0,0.03786688170996859,0.08080564497327944,0.0,0.0,0.07539181775385354,0.0,0.0,0.0633733088878387,-0.18191701518710962,1.0,-0.0,-0.0,-0.0,-0.029019221900676975,-0.0,0.1444669009208864
DGS2_chg,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.03985192439461543,-0.0,1.0,0.643624259154974,0.0,-0.0,-0.3297952184171117,-0.0
DGS10_chg,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.11776330430825462,-0.0,0.643624259154974,1.0,0.0,0.0,0.18818636452544144,-0.0
MORTGAGE30US_chg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.05653595656887519,-0.0,0.0,0.0,1.0,0.0,0.0,0.0
VIX_CHANGE,-0.0,-0.006069158755533999,-0.0,-0.0,-0.0,-0.0,-0.0,-0.301602258255041,-0.2539782797688549,0.0,-0.029019221900676975,-0.0,0.0,0.0,1.0,0.0,-0.0
US_YIELD_CURVE_chg,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.3297952184171117,0.18818636452544144,0.0,0.0,1.0,-0.0
THAI_BANK_BASKET_ret,0.3402057261681704,0.2800585797269942,0.310867470074717,0.3184749503239685,0.32933977330215747,0.1646127177103727,0.29381852213653264,0.0,0.0,-0.0,0.1444669009208864,-0.0,-0.0,0.0,-0.0,-0.0,1.0
